BadgeID,CACNumber,BadgeStatus,BadgeIssueDate,BadgeExpirationDate,AccessLevel,Facility,LastAccessReviewDate
9001,1000,Lost,2022-01-01 00:00:00.000000,2025-01-01 00:00:00.000000,General Access,Palmdale Facility,2023-01-01 00:00:00.000000
9002,1001,Active,2022-01-31 10:17:08.571428,2025-01-31 10:17:08.571428,Restricted Area,El Segundo Facility,2023-01-31 10:17:08.571428
9003,1002,Suspended,2022-03-02 20:34:17.142857,2025-03-02 20:34:17.142857,Executive Area,San Diego Facility,2023-03-02 20:34:17.142857
9004,1003,Expired,2022-04-02 06:51:25.714285,2025-04-02 06:51:25.714285,General Access,Huntsville Facility,2023-04-02 06:51:25.714285
9005,1004,Suspended,2022-05-02 17:08:34.285714,2025-05-02 17:08:34.285714,General Access,El Segundo Facility,2023-05-02 17:08:34.285714
9006,1005,Active,2022-06-02 03:25:42.857142,2025-06-02 03:25:42.857142,Secure Area,San Diego Facility,2023-06-02 03:25:42.857142
9007,1006,Lost,2022-07-02 13:42:51.428571,2025-07-02 13:42:51.428571,Executive Area,Riverside Facility,2023-07-02 13:42:51.428571
9008,1007,Lost,2022-08-02 00:00:00.000000,2025-08-02 00:00:00.000000,Secure Area,Riverside Facility,2023-08-02 00:00:00.000000
9009,1008,Active,2022-09-01 10:17:08.571428,2025-09-01 10:17:08.571428,Executive Area,San Diego Facility,2023-09-01 10:17:08.571428
9010,1009,Expired,2022-10-01 20:34:17.142857,2025-10-01 20:34:17.142857,Secure Area,Colorado Springs Facility,2023-10-01 20:34:17.142857
9011,1010,Active,2022-11-01 06:51:25.714285,2025-11-01 06:51:25.714285,Restricted Area,Palmdale Facility,2023-11-01 06:51:25.714285
9012,1011,Active,2022-12-01 17:08:34.285714,2025-12-01 17:08:34.285714,General Access,Colorado Springs Facility,2023-12-01 17:08:34.285714
9013,1012,Active,2023-01-01 03:25:42.857142,2026-01-01 03:25:42.857142,Restricted Area,San Diego Facility,2024-01-01 03:25:42.857142
9014,1013,Lost,2023-01-31 13:42:51.428571,2026-01-31 13:42:51.428571,Restricted Area,Palmdale Facility,2024-01-31 13:42:51.428571
